Role,RoleDescription,CapabilityId,CapName,CapabilitiyGroupName,ComponentName
CASE_ANALYST,Users who analyze incoming incidents.,Search Cases,Search Cases,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Subscribe to Any Incident,Subscribe to Any Incident,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Edit Incident,Edit Incident,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Delete My Case Comment,Delete My Case Comment,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Search EFiles,Search EFiles,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Subscribe to Any Party,Subscribe to Any Party,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Edit My Closed Case,Edit My Closed Case,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,View ECM Hub Link,View ECM Hub Link,Visual Analytics,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Add Incident To Case,Add Incident To Case,Relational,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Delete My Report Comment,Delete My Report Comment,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Add Comment To Any Report,Add Comment To Report,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Search Reports,Search Reports,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Subscribe to Any Case,Subscribe to Any Case,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Create Report,Create Report,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Delete My Party Comment,Delete My Party Comment,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Create Incident,Create Incident,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Add Comment To Any EFile,Add Comment To EFile,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Delete My Incident Comment,Delete My Incident Comment,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Add Comment To Any Incident,Add Comment To Any Incident,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Subscribe to Any EFile,Subscribe to Any EFile,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_ANALYST,Users who analyze incoming incidents.,Edit Report,Edit Report,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_FILER,Users who perform legal review of cases.,Delete My Report Comment,Delete My Report Comment,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_FILER,Users who perform legal review of cases.,Delete My EFile Comment,Delete My EFile Comment,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_FILER,Users who perform legal review of cases.,Search EFiles,Search EFiles,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_FILER,Users who perform legal review of cases.,Search Reports,Search Reports,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_FILER,Users who perform legal review of cases.,Delete My Case Comment,Delete My Case Comment,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_FILER,Users who perform legal review of cases.,Search Cases,Search Cases,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_FILER,Users who perform legal review of cases.,View ECM Hub Link,View ECM Hub Link,Visual Analytics,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Delete My Case Comment,Delete My Case Comment,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Delete My Incident Comment,Delete My Incident Comment,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Subscribe to Any Case,Subscribe to Any Case,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Add Incident To Case,Add Incident To Case,Relational,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Delete Any Party Attachment,Delete Any Party Attachment,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Create Party,Create Party,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Search Parties,Search Parties,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Create Incident,Create Incident,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Edit My Closed Case,Edit My Closed Case,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Create Case,Create Case,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Activate Report Workflow,Activate Report Workflow,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Edit Incident,Edit Incident,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Search Cases,Search Cases,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,View ECM Hub Link,View ECM Hub Link,Visual Analytics,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Subscribe to Any EFile,Subscribe to Any EFile,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Subscribe to Any Report,Subscribe to Any Report,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Delete My Report Comment,Delete My Report Comment,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Add Comment To Any Incident,Add Comment To Any Incident,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Delete My EFile Comment,Delete My EFile Comment,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Delete Any Report Attachment,Delete Any Report Attachment,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Add Comment To Any Report,Add Comment To Report,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Create Report,Create Report,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Edit Party,Edit Party,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Print Case,Print Case,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Search EFiles,Search EFiles,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Add Attachment To Report,Add Attachment To Report,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Subscribe to Any Party,Subscribe to Any Party,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Delete Any Incident Attachment,Delete Any Incident Attachment,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Delete Any Case Attachment,Delete Any Case Attachment,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Add Comment To Any EFile,Add Comment To EFile,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Edit Report,Edit Report,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Search Reports,Search Reports,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Add Comment To Any Party,Add Comment To Any Party,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Subscribe to Any Incident,Subscribe to Any Incident,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Activate Case Workflow,Activate Case Workflow,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Reassign My Case,Reassign My Case,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Delete My Party Comment,Delete My Party Comment,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_INVESTIGATOR,Users who can investigate cases.,Search Incidents,Search Incidents,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,View ECM Hub Link,View ECM Hub Link,Visual Analytics,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Delete My Case Comment,Delete My Case Comment,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Delete My Report Comment,Delete My Report Comment,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Search Reports,Search Reports,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Subscribe to Any Incident,Subscribe to Any Incident,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Search EFiles,Search EFiles,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Subscribe to Any Case,Subscribe to Any Case,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Search Cases,Search Cases,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Subscribe to Any EFile,Subscribe to Any EFile,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Delete My EFile Comment,Delete My EFile Comment,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Subscribe to Any Party,Subscribe to Any Party,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Print Case,Print Case,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Subscribe to Any Report,Subscribe to Any Report,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Search Parties,Search Parties,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_LEGAL,Users who perform legal review of cases.,Search Incidents,Search Incidents,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,View ECM Hub Link,View ECM Hub Link,Visual Analytics,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Delete Any EFile Attachment,Delete Any EFile Attachment,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Activate Report Workflow,Activate Report Workflow,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Subscribe to Any Party,Subscribe to Any Party,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Delete Any Party Comment,Delete Any Party Comment,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Subscribe to Any Incident,Subscribe to Any Incident,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Delete Any Incident Comment,Delete Any Incident Comment,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Delete Any Incident Attachment,Delete Any Incident Attachment,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Delete Any Case Attachment,Delete Any Case Attachment,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Delete Any EFile Comment,Delete Any EFile Comment,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Delete Any Party Attachment,Delete Any Party Attachment,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Search Parties,Search Parties,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Subscribe to Any EFile,Subscribe to Any EFile,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Delete Any Report Attachment,Delete Any Report Attachment,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Search Incidents,Search Incidents,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Reassign Any Case,Reassign Any Case,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Terminate Report Workflow,Terminate Report Workflow,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Edit Report,Edit Report,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Search Reports,Search Reports,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Add Comment To Any Party,Add Comment To Any Party,Party,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Activate Case Workflow,Activate Case Workflow,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Search EFiles,Search EFiles,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Add Comment To Any Report,Add Comment To Report,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Add Comment To Any Incident,Add Comment To Any Incident,Incident,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Delete Any Case Comment,Delete Any Case Comment,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Delete Any Report Comment,Delete Any Report Comment,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Terminate Case Workflow,Terminate Case Workflow,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Add Comment To Any EFile,Add Comment To EFile,EFile,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Subscribe to Any Case,Subscribe to Any Case,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Add Comment To Any Case Anytime,Add Comment To Any Case Anytime,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Subscribe to Any Report,Subscribe to Any Report,Report,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Print Case,Print Case,Case,Ent Case Mgmt Mid-Tier 6.3
CASE_MANAGER,Users who manage investigators.,Search Cases,Search Cases,Case,Ent Case Mgmt Mid-Tier 6.3
Comments: Administrator,,WIP_COMMENT_DELETE,Delete comments,Comments,SAS Application Infrastructure
Comments: Administrator,,WIP_COMMENT_EDIT,Edit comments,Comments,SAS Application Infrastructure
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,AML.RISK_ASSESSMENTS.ACCESS.AVAILABLE,Access Available Risk Assessments,Anti-Money Laundering Risk Assessment,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,AML.RISK_ASSESSMENTS.ACCESS.CLOSED,Access Closed Risk Assessments,Anti-Money Laundering Risk Assessment,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,FCF.SERVICES.ACCESS.ALL,Access Compliance Solutions REST Services,Compliance Solutions Services,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,FCF.ENTITY.ACCESS,Access Entity,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,FCF.ACCESS.SEARCH.CASES,Access Search Cases Page,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,FCF.EFILE.ACCESS,Access E-Files,Compliance Solutions E-File,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,AML.CASE.PRINT,Print Cases for Anti-Money Laundering,Anti-Money Laundering Cases,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,FCF.REPORT.ACCESS,Access Reports,Anti-Money Laundering Regulatory Reports,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,AML.ALERTS.ACCESS.SEARCH,Access Alert Search,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,AML.CLEAR_CACHE,Clear Cache,Anti-Money Laundering Administration,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,AML.ALERTS.ACCESS.SUPPRESSED,Access Suppressed Alerts,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,FCF.CASE.PRINT,Access Print Case Reports,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,FCF.ACCESS.SEARCH.EFILES,Access Search E-Files Page,Compliance Solutions E-File,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,FCF.ACCESS.SEARCH.REPORTS,Access Search Reports Page,Anti-Money Laundering Regulatory Reports,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,AML.ALERTS.ACCESS.CLOSED,Access Closed Alerts,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,AML.ALERTS.ACCESS.AVAILABLE,Access Available Alerts,Anti-Money Laundering Alerts,Compliance Solutions Mid 7.1
Compliance Solutions: Quality Review and Audit,Quality Review and Audit User,AML.RISK_ASSESSMENTS.ACCESS.SEARCH,Access Risk Assessments Search,Anti-Money Laundering Risk Assessment,Compliance Solutions Mid 7.1
Customer Due Diligence: Administrator,Customer Due Diligence Administrator,AML.PREFERENCES.UPDATE,Update Preferences,Anti-Money Laundering Administration,Compliance Solutions Mid 7.1
Customer Due Diligence: Administrator,Customer Due Diligence Administrator,AML.CLEAR_CACHE,Clear Cache,Anti-Money Laundering Administration,Compliance Solutions Mid 7.1
Customer Due Diligence: Administrator,Customer Due Diligence Administrator,FCF.SERVICES.ACCESS.ALL,Access Compliance Solutions REST Services,Compliance Solutions Services,Compliance Solutions Mid 7.1
Customer Due Diligence: Administrator,Customer Due Diligence Administrator,FCF.ACCESS.SEARCH.CASES,Access Search Cases Page,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,FCF.ACCESS.SEARCH.REPORTS,Access Search Reports Page,Anti-Money Laundering Regulatory Reports,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,CDD.CASE.ROUTE,Route Cases for Customer Due Diligence,Customer Due Diligence Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,AML.CASE.EDIT,Edit My Cases for Anti-Money Laundering,Anti-Money Laundering Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,AML.CLEAR_CACHE,Clear Cache,Anti-Money Laundering Administration,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,CDD.CASE.CHECKIN,Return Case Ownership for Customer Due Diligence,Customer Due Diligence Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,FCF.CASE.PRINT,Access Print Case Reports,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,CDD.CASE.CHECKOUT,Take Case Ownership for Customer Due Diligence,Customer Due Diligence Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,FCF.ACCESS.SEARCH.CASES,Access Search Cases Page,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,CDD.CASE.CREATE,Create Cases for Customer Due Diligence,Customer Due Diligence Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,AML.COMMENT.DELETE,Delete Note,Anti-Money Laundering Notes,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,FCF.CASE.ACCESS,Access Cases,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,FCF.SERVICES.ACCESS.ALL,Access Compliance Solutions REST Services,Compliance Solutions Services,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,AML.CASE.PRINT,Print Cases for Anti-Money Laundering,Anti-Money Laundering Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,FCF.SEARCH,Access Global and Targeted Search,Compliance Solutions Services,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,AML.COMMENT.CREATE,Create Note,Anti-Money Laundering Notes,Compliance Solutions Mid 7.1
Customer Due Diligence: Investigator,Customer Due Diligence Investigator,FCF.REPORT.ACCESS,Access Reports,Anti-Money Laundering Regulatory Reports,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,FCF.ACCESS.SEARCH.REPORTS,Access Search Reports Page,Anti-Money Laundering Regulatory Reports,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,CDD.CASE.CHECKOUT,Take Case Ownership for Customer Due Diligence,Customer Due Diligence Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,CDD.CASE.CREATE,Create Cases for Customer Due Diligence,Customer Due Diligence Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,FCF.CASE.ACCESS,Access Cases,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,FCF.SERVICES.ACCESS.ALL,Access Compliance Solutions REST Services,Compliance Solutions Services,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,CDD.CASE.ROUTE,Route Cases for Customer Due Diligence,Customer Due Diligence Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,AML.CLEAR_CACHE,Clear Cache,Anti-Money Laundering Administration,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,FCF.SEARCH,Access Global and Targeted Search,Compliance Solutions Services,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,AML.COMMENT.DELETE.ALL,Delete Any Note,Anti-Money Laundering Notes,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,FCF.ACCESS.SEARCH.CASES,Access Search Cases Page,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,AML.COMMENT.DELETE,Delete Note,Anti-Money Laundering Notes,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,CDD.CASE.CHECKIN,Return Case Ownership for Customer Due Diligence,Customer Due Diligence Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,AML.CASE.PRINT,Print Cases for Anti-Money Laundering,Anti-Money Laundering Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,AML.CASE.EDIT.ALL,Edit Any Cases for Anti-Money Laundering,Anti-Money Laundering Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,AML.ATTACHMENT.DELETE,Delete Attachment,Anti-Money Laundering Attachments,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,AML.COMMENT.CREATE,Create Note,Anti-Money Laundering Notes,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,FCF.CASE.PRINT,Access Print Case Reports,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,FCF.REPORT.ACCESS,Access Reports,Anti-Money Laundering Regulatory Reports,Compliance Solutions Mid 7.1
Customer Due Diligence: Manager,Customer Due Diligence Manager,AML.CASE.EDIT,Edit My Cases for Anti-Money Laundering,Anti-Money Laundering Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Scenario Manager User,Customer Due Diligence Rule Administrator User,CDD.HOME.ACCESS.SCENARIO_MANAGER,Access CDD Rule Administrator,CDD Rule Administration,Compliance Solutions Mid 7.1
Customer Due Diligence: Scenario Manager User,Customer Due Diligence Rule Administrator User,FCF.ACCESS.SEARCH.CASES,Access Search Cases Page,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Scenario Manager User,Customer Due Diligence Rule Administrator User,CDD.RULES.IMPORT,Import Rules,CDD Rule Administration,Compliance Solutions Mid 7.1
Customer Due Diligence: Scenario Manager User,Customer Due Diligence Rule Administrator User,AML.CASE.PRINT,Print Cases for Anti-Money Laundering,Anti-Money Laundering Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Scenario Manager User,Customer Due Diligence Rule Administrator User,CDD.RULES.CREATE,Create Rules and Rule Groups,CDD Rule Administration,Compliance Solutions Mid 7.1
Customer Due Diligence: Scenario Manager User,Customer Due Diligence Rule Administrator User,FCF.SERVICES.ACCESS.ALL,Access Compliance Solutions REST Services,Compliance Solutions Services,Compliance Solutions Mid 7.1
Customer Due Diligence: Scenario Manager User,Customer Due Diligence Rule Administrator User,CDD.RULES.EDIT,Edit Rules and Rule Groups,CDD Rule Administration,Compliance Solutions Mid 7.1
Customer Due Diligence: Scenario Manager User,Customer Due Diligence Rule Administrator User,CDD.RULES.EXPORT,Export Rules,CDD Rule Administration,Compliance Solutions Mid 7.1
Customer Due Diligence: Scenario Manager User,Customer Due Diligence Rule Administrator User,FCF.CASE.PRINT,Access Print Case Reports,Compliance Solutions Cases,Compliance Solutions Mid 7.1
Customer Due Diligence: Scenario Manager User,Customer Due Diligence Rule Administrator User,AML.CLEAR_CACHE,Clear Cache,Anti-Money Laundering Administration,Compliance Solutions Mid 7.1
Customer Due Diligence: Scenario Manager User,Customer Due Diligence Rule Administrator User,CDD.RULES.DEPLOY,Deploy to FCF,CDD Rule Administration,Compliance Solutions Mid 7.1
Customer Due Diligence: Scenario Manager User,Customer Due Diligence Rule Administrator User,CDD.RULES.ADMIN,Administration,CDD Rule Administration,Compliance Solutions Mid 7.1
Data Management: Operation,Provides default access to the Home page.,ViewApplication,View Application,Operation,Data Management Cnsle Home Page
Data Management: Process Orchestration,Provides default access to the SAS Process Orchestration application.,ViewApplication,View Application,Operation,Visual Process Orch
Data Remediation: Issue Administration,"Provides functionality related to administrative activities for all data remediation packages, items, and issues.",IssueAdministration,Issue Administration,Administrative,Data Remediation
Data Remediation: Issue Administration,"Provides functionality related to administrative activities for all data remediation packages, items, and issues.",IssueManagement,Manage Issues,Process Management,Data Remediation
